,mBERT,Chinese-BERT,MacBERT,XLM-R-base,XLM-R-large,ERNIE-3.0,UER-tiny,UER-small
寢,True,True,True,False,False,True,True,True
寣,False,False,False,False,False,True,False,False
寤,False,False,False,False,False,True,False,False
寥,True,True,True,False,False,True,True,True
實,True,True,True,False,False,True,True,True
寧,True,True,True,False,False,True,True,True
寨,True,True,True,False,False,True,True,True
審,True,True,True,False,False,True,True,True
寪,False,False,False,False,False,True,False,False
寫,True,True,True,False,False,True,True,True
寬,True,True,True,False,False,True,True,True
寭,False,False,False,False,False,True,False,False
寮,True,True,True,False,False,True,True,True
寯,False,False,False,False,False,True,False,False
寰,True,True,True,False,False,True,True,True
寱,False,False,False,False,False,True,False,False
寲,False,False,False,False,False,True,False,False
寳,False,False,False,False,False,True,False,False
寴,False,False,False,False,False,True,False,False
寵,True,True,True,False,False,True,True,True
寶,True,True,True,False,False,True,True,True
寷,False,False,False,False,False,True,False,False
寸,True,True,True,False,False,True,True,True
对,True,True,True,False,False,True,True,True
寺,True,True,True,False,False,True,True,True
寻,True,True,True,False,False,True,True,True
导,True,True,True,False,False,True,True,True
寽,False,False,False,False,False,True,False,False
対,True,True,True,False,False,True,True,True
寿,True,True,True,False,False,True,True,True
尀,False,False,False,False,False,True,False,False
封,True,True,True,False,False,True,True,True
専,True,True,True,False,False,True,True,True
尃,False,False,False,False,False,True,False,False
射,True,True,True,False,False,True,True,True
尅,False,False,False,False,False,True,False,False
将,True,True,True,False,False,True,True,True
將,True,True,True,False,False,True,True,True
專,True,True,True,False,False,True,True,True
尉,True,True,True,False,False,True,True,True
尊,True,True,True,False,False,True,True,True
尋,True,True,True,False,False,True,True,True
尌,False,False,False,False,False,True,False,False
對,True,True,True,False,False,True,True,True
導,True,True,True,False,False,True,True,True
小,True,True,True,True,True,True,True,True
尐,False,False,False,False,False,True,False,False
少,True,True,True,False,False,True,True,True
尒,False,False,False,False,False,True,False,False
尓,False,False,False,False,False,True,False,False
尔,True,True,True,False,False,True,True,True
尕,True,True,True,False,False,True,True,True
尖,True,True,True,False,False,True,True,True
尗,False,False,False,False,False,True,False,False
尘,True,True,True,False,False,True,True,True
尙,True,False,False,False,False,True,False,False
尚,True,True,True,False,False,True,True,True
尛,False,False,False,False,False,True,False,False
尜,False,False,False,False,False,True,False,False
尝,True,True,True,False,False,True,True,True
尞,False,False,False,False,False,True,False,False
尟,False,False,False,False,False,True,False,False
尠,False,False,False,False,False,True,False,False
尡,False,False,False,False,False,True,False,False
尢,False,False,False,False,False,True,False,False
尣,False,False,False,False,False,True,False,False
尤,True,True,True,False,False,True,True,True
尥,False,False,False,False,False,True,False,False
尦,False,False,False,False,False,True,False,False
尧,True,True,True,False,False,True,True,True
尨,False,False,False,False,False,True,False,False
尩,False,False,False,False,False,True,False,False
尪,False,False,False,False,False,True,False,False
尫,False,False,False,False,False,True,False,False
尬,True,True,True,False,False,True,True,True
尭,True,False,False,False,False,True,False,False
尮,False,False,False,False,False,True,False,False
尯,False,False,False,False,False,True,False,False
尰,False,False,False,False,False,True,False,False
就,True,True,True,False,False,True,True,True
尲,False,False,False,False,False,True,False,False
尳,False,False,False,False,False,True,False,False
尴,True,True,True,False,False,True,True,True
尵,False,False,False,False,False,True,False,False
尶,False,False,False,False,False,True,False,False
尷,True,True,True,False,False,True,True,True
尸,True,True,True,False,False,True,True,True
尹,True,True,True,False,False,True,True,True
尺,True,True,True,False,False,True,True,True
尻,True,True,True,False,False,True,True,True
尼,True,True,True,False,False,True,True,True
尽,True,True,True,False,False,True,True,True
尾,True,True,True,False,False,True,True,True
尿,True,True,True,False,False,True,True,True
局,True,True,True,False,False,True,True,True
屁,True,True,True,False,False,True,True,True
层,True,True,True,False,False,True,True,True
屃,False,False,False,False,False,True,False,False
屄,False,True,True,False,False,True,True,True
居,True,True,True,False,False,True,True,True
屆,True,True,True,False,False,True,True,True
屇,False,False,False,False,False,True,False,False
屈,True,True,True,False,False,True,True,True
屉,False,True,True,False,False,True,True,True
届,True,True,True,False,False,True,True,True
屋,True,True,True,False,False,True,True,True
屌,False,True,True,False,False,True,True,True
屍,True,True,True,False,False,True,True,True
屎,True,True,True,False,False,True,True,True
屏,True,True,True,False,False,True,True,True
屐,False,True,True,False,False,True,True,True
屑,True,True,True,False,False,True,True,True
屒,False,False,False,False,False,True,False,False
屓,False,False,False,False,False,True,False,False
屔,False,False,False,False,False,True,False,False
展,True,True,True,False,False,True,True,True
屖,False,False,False,False,False,True,False,False
屗,False,False,False,False,False,True,False,False
屘,False,False,False,False,False,True,False,False
屙,False,False,False,False,False,True,False,False
屚,False,False,False,False,False,True,False,False
屛,False,False,False,False,False,True,False,False
屜,False,True,True,False,False,True,True,True
屝,False,False,False,False,False,True,False,False
属,True,True,True,False,False,True,True,True
屟,False,False,False,False,False,True,False,False
屠,True,True,True,False,False,True,True,True
屡,True,True,True,False,False,True,True,True
屢,True,True,True,False,False,True,True,True
屣,False,False,False,False,False,True,False,False
層,True,True,True,False,False,True,True,True
履,True,True,True,False,False,True,True,True
屦,False,False,False,False,False,True,False,False
屧,False,False,False,False,False,True,False,False
屨,False,False,False,False,False,True,False,False
屩,False,False,False,False,False,True,False,False
屪,False,False,False,False,False,True,False,False
屫,False,False,False,False,False,True,False,False
屬,True,True,True,False,False,True,True,True
屭,False,False,False,False,False,True,False,False
屮,False,False,False,False,False,True,False,False
屯,True,True,True,False,False,True,True,True
屰,False,False,False,False,False,True,False,False
山,True,True,True,False,False,True,True,True
屲,False,False,False,False,False,True,False,False
屳,False,False,False,False,False,True,False,False
屴,False,False,False,False,False,True,False,False
屵,False,False,False,False,False,True,False,False
屶,False,False,False,False,False,True,False,False
屷,False,False,False,False,False,True,False,False
屸,False,False,False,False,False,True,False,False
屹,True,True,True,False,False,True,True,True
屺,False,False,False,False,False,True,False,False
屻,False,False,False,False,False,True,False,False
屼,False,False,False,False,False,True,False,False
屽,False,False,False,False,False,True,False,False
屾,False,False,False,False,False,True,False,False
屿,True,True,True,False,False,True,True,True
岀,False,True,True,False,False,True,True,True
岁,True,True,True,False,False,True,True,True
岂,True,True,True,False,False,True,True,True
岃,False,False,False,False,False,True,False,False
岄,False,False,False,False,False,True,False,False
岅,False,False,False,False,False,True,False,False
岆,False,False,False,False,False,True,False,False
岇,False,False,False,False,False,True,False,False
岈,False,False,False,False,False,True,False,False
岉,False,False,False,False,False,True,False,False
岊,False,False,False,False,False,True,False,False
岋,False,False,False,False,False,True,False,False
岌,True,True,True,False,False,True,True,True
岍,False,False,False,False,False,True,False,False
岎,False,False,False,False,False,True,False,False
岏,False,False,False,False,False,True,False,False
岐,True,True,True,False,False,True,True,True
岑,True,True,True,False,False,True,True,True
岒,False,False,False,False,False,True,False,False
岓,False,False,False,False,False,True,False,False
岔,True,True,True,False,False,True,True,True
岕,False,False,False,False,False,True,False,False
岖,True,True,True,False,False,True,True,True
岗,True,True,True,False,False,True,True,True
岘,True,True,True,False,False,True,True,True
岙,True,True,True,False,False,True,True,True
岚,True,True,True,False,False,True,True,True
岛,True,True,True,False,False,True,True,True
岜,False,False,False,False,False,True,False,False
岝,False,False,False,False,False,True,False,False
岞,False,False,False,False,False,True,False,False
岟,False,False,False,False,False,True,False,False
岠,False,False,False,False,False,True,False,False
岡,True,True,True,False,False,True,True,True
岢,False,False,False,False,False,True,False,False
岣,False,False,False,False,False,True,False,False
岤,False,False,False,False,False,True,False,False
岥,False,False,False,False,False,True,False,False
岦,False,False,False,False,False,True,False,False
岧,False,False,False,False,False,True,False,False
岨,False,False,False,False,False,True,False,False
岩,True,True,True,False,False,True,True,True
岪,False,False,False,False,False,True,False,False
岫,True,True,True,False,False,True,True,True
岬,True,True,True,False,False,True,True,True
岭,True,True,True,False,False,True,True,True
岮,False,False,False,False,False,True,False,False
岯,False,False,False,False,False,True,False,False
岰,False,False,False,False,False,True,False,False
岱,True,True,True,False,False,True,True,True
岲,False,False,False,False,False,True,False,False
岳,True,True,True,False,False,True,True,True
岴,False,False,False,False,False,True,False,False
岵,False,False,False,False,False,True,False,False
岶,False,False,False,False,False,True,False,False
岷,True,True,True,False,False,True,True,True
岸,True,True,True,False,False,True,True,True
岹,False,False,False,False,False,True,False,False
岺,False,False,False,False,False,True,False,False
岻,False,False,False,False,False,True,False,False
岼,False,False,False,False,False,True,False,False
岽,False,False,False,False,False,True,False,False
岾,False,False,False,False,False,True,False,False
岿,False,False,False,False,False,True,False,False
峀,False,False,False,False,False,True,False,False
峁,True,False,False,False,False,True,False,False
峂,False,False,False,False,False,True,False,False
峃,False,False,False,False,False,True,False,False
峄,False,False,False,False,False,True,False,False
峅,False,False,False,False,False,True,False,False
峆,False,False,False,False,False,True,False,False
峇,True,True,True,False,False,True,True,True
峈,False,False,False,False,False,True,False,False
峉,False,False,False,False,False,True,False,False
峊,False,False,False,False,False,True,False,False
峋,False,True,True,False,False,True,True,True
峌,False,False,False,False,False,True,False,False
峍,False,False,False,False,False,True,False,False
峎,False,False,False,False,False,True,False,False
峏,False,False,False,False,False,True,False,False
峐,False,False,False,False,False,True,False,False
峑,False,False,False,False,False,True,False,False
峒,True,True,True,False,False,True,True,True
峓,False,False,False,False,False,True,False,False
峔,False,False,False,False,False,True,False,False
峕,False,False,False,False,False,True,False,False
峖,False,False,False,False,False,True,False,False
峗,False,False,False,False,False,True,False,False
峘,False,False,False,False,False,True,False,False
峙,True,True,True,False,False,True,True,True
峚,False,False,False,False,False,True,False,False
峛,False,False,False,False,False,True,False,False
峜,False,False,False,False,False,True,False,False
峝,False,False,False,False,False,True,False,False
峞,False,False,False,False,False,True,False,False
峟,False,False,False,False,False,True,False,False
峠,True,False,False,False,False,True,False,False
峡,True,True,True,False,False,True,True,True
峢,False,False,False,False,False,True,False,False
峣,False,False,False,False,False,True,False,False
峤,False,True,True,False,False,True,True,True
峥,False,True,True,False,False,True,True,True
峦,True,True,True,False,False,True,True,True
峧,False,False,False,False,False,True,False,False
峨,True,True,True,False,False,True,True,True
峩,False,False,False,False,False,True,False,False
峪,True,True,True,False,False,True,True,True
峫,False,False,False,False,False,True,False,False
峬,False,False,False,False,False,True,False,False
峭,True,True,True,False,False,True,True,True
峮,False,False,False,False,False,True,False,False
峯,True,True,True,False,False,True,True,True
峰,True,True,True,False,False,True,True,True
峱,False,False,False,False,False,True,False,False
峲,False,False,False,False,False,True,False,False
峳,False,False,False,False,False,True,False,False
峴,True,True,True,False,False,True,True,True
峵,False,False,False,False,False,True,False,False
島,True,True,True,False,False,True,True,True
峷,False,False,False,False,False,True,False,False
峸,False,False,False,False,False,True,False,False
峹,False,False,False,False,False,True,False,False
峺,False,False,False,False,False,True,False,False
峻,True,True,True,False,False,True,True,True
峼,False,False,False,False,False,True,False,False
峽,True,True,True,False,False,True,True,True
峾,False,False,False,False,False,True,False,False
峿,False,False,False,False,False,True,False,False
崀,False,False,False,False,False,True,False,False
崁,True,True,True,False,False,True,True,True
崂,False,True,True,False,False,True,True,True
崃,False,False,False,False,False,True,False,False
崄,False,False,False,False,False,True,False,False
崅,False,False,False,False,False,True,False,False
崆,False,True,True,False,False,True,True,True
崇,True,True,True,False,False,True,True,True
崈,False,False,False,False,False,True,False,False
崉,False,False,False,False,False,True,False,False
崊,False,False,False,False,False,True,False,False
崋,False,False,False,False,False,True,False,False
崌,False,False,False,False,False,True,False,False
崍,False,False,False,False,False,True,False,False
崎,True,True,True,False,False,True,True,True
崏,False,False,False,False,False,True,False,False
崐,False,False,False,False,False,True,False,False
崑,True,True,True,False,False,True,True,True
崒,False,False,False,False,False,True,False,False
崓,False,False,False,False,False,True,False,False
崔,True,True,True,False,False,True,True,True
崕,False,False,False,False,False,True,False,False
崖,True,True,True,False,False,True,True,True
崗,True,True,True,False,False,True,True,True
崘,False,False,False,False,False,True,False,False
崙,True,True,True,False,False,True,True,True
崚,False,False,False,False,False,True,False,False
崛,True,True,True,False,False,True,True,True
崜,False,False,False,False,False,True,False,False
崝,False,False,False,False,False,True,False,False
崞,False,False,False,False,False,True,False,False
崟,False,False,False,False,False,True,False,False
崠,False,False,False,False,False,True,False,False
崡,False,False,False,False,False,True,False,False
崢,False,False,False,False,False,True,False,False
崣,False,False,False,False,False,True,False,False
崤,False,False,False,False,False,True,False,False
崥,False,False,False,False,False,True,False,False
崦,False,False,False,False,False,True,False,False
崧,True,True,True,False,False,True,True,True
崨,False,False,False,False,False,True,False,False
崩,True,True,True,False,False,True,True,True
崪,False,False,False,False,False,True,False,False
崫,False,False,False,False,False,True,False,False
崬,False,False,False,False,False,True,False,False
崭,True,True,True,False,False,True,True,True
崮,False,False,False,False,False,True,False,False
崯,False,False,False,False,False,True,False,False
崰,False,False,False,False,False,True,False,False
崱,False,False,False,False,False,True,False,False
崲,False,False,False,False,False,True,False,False
崳,False,False,False,False,False,True,False,False
崴,True,True,True,False,False,True,True,True
崵,False,False,False,False,False,True,False,False
崶,False,False,False,False,False,True,False,False
崷,False,False,False,False,False,True,False,False
崸,False,False,False,False,False,True,False,False
崹,False,False,False,False,False,True,False,False
崺,False,False,False,False,False,True,False,False
崻,False,False,False,False,False,True,False,False
崼,False,False,False,False,False,True,False,False
崽,False,True,True,False,False,True,True,True
崾,False,False,False,False,False,True,False,False
崿,False,False,False,False,False,True,False,False
嵀,False,False,False,False,False,True,False,False
嵁,False,False,False,False,False,True,False,False
嵂,False,False,False,False,False,True,False,False
嵃,False,False,False,False,False,True,False,False
嵄,False,False,False,False,False,True,False,False
嵅,False,False,False,False,False,True,False,False
嵆,False,False,False,False,False,True,False,False
嵇,True,True,True,False,False,True,True,True
嵈,False,False,False,False,False,True,False,False
嵉,False,False,False,False,False,True,False,False
嵊,True,True,True,False,False,True,True,True
嵋,True,True,True,False,False,True,True,True
嵌,True,True,True,False,False,True,True,True
嵍,False,False,False,False,False,True,False,False
嵎,False,False,False,False,False,True,False,False
嵏,False,False,False,False,False,True,False,False
嵐,True,True,True,False,False,True,True,True
嵑,False,False,False,False,False,True,False,False
嵒,False,False,False,False,False,True,False,False
嵓,False,False,False,False,False,True,False,False
嵔,False,False,False,False,False,True,False,False
嵕,False,False,False,False,False,True,False,False
嵖,False,False,False,False,False,True,False,False
嵗,False,False,False,False,False,True,False,False
嵘,False,True,True,False,False,True,True,True
嵙,False,False,False,False,False,True,False,False
嵚,False,False,False,False,False,True,False,False
嵛,False,False,False,False,False,True,False,False
嵜,True,False,False,False,False,True,False,False
嵝,False,False,False,False,False,True,False,False
嵞,False,False,False,False,False,True,False,False
嵟,False,False,False,False,False,True,False,False
嵠,False,False,False,False,False,True,False,False
嵡,False,False,False,False,False,True,False,False
嵢,False,False,False,False,False,True,False,False
嵣,False,False,False,False,False,True,False,False
嵤,False,False,False,False,False,True,False,False
嵥,False,False,False,False,False,True,False,False
嵦,False,False,False,False,False,True,False,False
嵧,False,False,False,False,False,True,False,False
嵨,False,False,False,False,False,True,False,False
嵩,True,True,True,False,False,True,True,True
嵪,False,False,False,False,False,True,False,False
嵫,False,False,False,False,False,True,False,False
嵬,False,True,True,False,False,True,True,True
嵭,False,False,False,False,False,True,False,False
嵮,False,False,False,False,False,True,False,False
嵯,True,True,True,False,False,True,True,True
嵰,False,False,False,False,False,True,False,False
嵱,False,False,False,False,False,True,False,False
嵲,False,False,False,False,False,True,False,False
嵳,False,False,False,False,False,True,False,False
嵴,False,False,False,False,False,True,False,False
嵵,False,False,False,False,False,True,False,False
嵶,False,False,False,False,False,True,False,False
嵷,False,False,False,False,False,True,False,False
嵸,False,False,False,False,False,True,False,False
嵹,False,False,False,False,False,True,False,False
嵺,False,False,False,False,False,True,False,False
嵻,False,False,False,False,False,True,False,False
嵼,False,False,False,False,False,True,False,False
嵽,False,False,False,False,False,True,False,False
嵾,False,False,False,False,False,True,False,False
嵿,False,False,False,False,False,True,False,False
嶀,False,False,False,False,False,True,False,False
嶁,False,False,False,False,False,True,False,False
嶂,False,True,True,False,False,True,True,True
嶃,False,False,False,False,False,True,False,False
嶄,True,True,True,False,False,True,True,True
嶅,False,False,False,False,False,True,False,False
嶆,False,False,False,False,False,True,False,False
嶇,True,True,True,False,False,True,True,True
嶈,False,False,False,False,False,True,False,False
嶉,False,False,False,False,False,True,False,False
嶊,False,False,False,False,False,True,False,False
嶋,True,True,True,False,False,True,True,True
嶌,False,False,False,False,False,True,False,False
嶍,False,False,False,False,False,True,False,False
嶎,False,False,False,False,False,True,False,False
嶏,False,False,False,False,False,True,False,False
嶐,False,False,False,False,False,True,False,False
嶑,False,False,False,False,False,True,False,False
嶒,False,False,False,False,False,True,False,False
嶓,False,False,False,False,False,True,False,False
嶔,False,False,False,False,False,True,False,False
嶕,False,False,False,False,False,True,False,False
嶖,False,False,False,False,False,True,False,False
嶗,False,False,False,False,False,True,False,False
嶘,False,False,False,False,False,True,False,False
嶙,False,True,True,False,False,True,True,True
嶚,False,False,False,False,False,True,False,False
嶛,False,False,False,False,False,True,False,False
嶜,False,False,False,False,False,True,False,False
嶝,False,False,False,False,False,True,False,False
嶞,False,False,False,False,False,True,False,False
嶟,False,False,False,False,False,True,False,False
嶠,True,False,False,False,False,True,False,False
嶡,False,False,False,False,False,True,False,False
嶢,False,False,False,False,False,True,False,False
嶣,False,False,False,False,False,True,False,False
嶤,False,False,False,False,False,True,False,False
嶥,False,False,False,False,False,True,False,False
嶦,False,False,False,False,False,True,False,False
嶧,False,False,False,False,False,True,False,False
嶨,False,False,False,False,False,True,False,False
嶩,False,False,False,False,False,True,False,False
嶪,False,False,False,False,False,True,False,False
嶫,False,False,False,False,False,True,False,False
嶬,False,False,False,False,False,True,False,False
嶭,False,False,False,False,False,True,False,False
嶮,False,False,False,False,False,True,False,False
嶯,False,False,False,False,False,True,False,False
嶰,False,False,False,False,False,True,False,False
嶱,False,False,False,False,False,True,False,False
嶲,False,False,False,False,False,True,False,False
嶳,False,False,False,False,False,True,False,False
嶴,False,False,False,False,False,True,False,False
嶵,False,False,False,False,False,True,False,False
嶶,False,False,False,False,False,True,False,False
嶷,True,False,False,False,False,True,False,False
嶸,False,False,False,False,False,True,False,False
嶹,False,False,False,False,False,True,False,False
嶺,True,True,True,False,False,True,True,True
嶻,False,False,False,False,False,True,False,False
嶼,True,True,True,False,False,True,True,True
嶽,True,True,True,False,False,True,True,True
嶾,False,False,False,False,False,True,False,False
嶿,False,False,False,False,False,True,False,False
巀,False,False,False,False,False,True,False,False
巁,False,False,False,False,False,True,False,False
巂,False,False,False,False,False,True,False,False
巃,False,False,False,False,False,True,False,False
巄,False,False,False,False,False,True,False,False
巅,True,True,True,False,False,True,True,True
巆,False,False,False,False,False,True,False,False
巇,False,False,False,False,False,True,False,False
巈,False,False,False,False,False,True,False,False
巉,False,False,False,False,False,True,False,False
巊,False,False,False,False,False,True,False,False
巋,False,False,False,False,False,True,False,False
巌,True,False,False,False,False,True,False,False
巍,True,True,True,False,False,True,True,True
巎,False,False,False,False,False,True,False,False
巏,False,False,False,False,False,True,False,False
巐,False,False,False,False,False,True,False,False
巑,False,False,False,False,False,True,False,False
巒,True,True,True,False,False,True,True,True
巓,False,False,False,False,False,True,False,False
巔,True,True,True,False,False,True,True,True
巕,False,False,False,False,False,True,False,False
巖,True,True,True,False,False,True,True,True
巗,False,False,False,False,False,True,False,False
巘,False,False,False,False,False,True,False,False
巙,False,False,False,False,False,True,False,False
巚,False,False,False,False,False,True,False,False
巛,False,False,False,False,False,True,False,False
巜,False,False,False,False,False,True,False,False
川,True,True,True,False,False,True,True,True
州,True,True,True,False,False,True,True,True
巟,False,False,False,False,False,True,False,False
巠,False,False,False,False,False,True,False,False
巡,True,True,True,False,False,True,True,True
巢,True,True,True,False,False,True,True,True
巣,True,False,False,False,False,True,False,False
巤,False,False,False,False,False,True,False,False
工,True,True,True,False,False,True,True,True
左,True,True,True,False,False,True,True,True
巧,True,True,True,False,False,True,True,True
巨,True,True,True,False,False,True,True,True
巩,True,True,True,False,False,True,True,True
巪,False,False,False,False,False,True,False,False
巫,True,True,True,False,False,True,True,True
巬,False,False,False,False,False,True,False,False
巭,False,False,False,False,False,True,False,False
差,True,True,True,False,False,True,True,True
巯,False,False,False,False,False,True,False,False
巰,False,False,False,False,False,True,False,False
己,True,True,True,False,False,True,True,True
已,True,True,True,False,False,True,True,True
巳,True,True,True,False,False,True,True,True
巴,True,True,True,False,False,True,True,True
巵,False,False,False,False,False,True,False,False
巶,False,False,False,False,False,True,False,False
巷,True,True,True,False,False,True,True,True
巸,False,False,False,False,False,True,False,False
巹,False,False,False,False,False,True,False,False
巺,False,False,False,False,False,True,False,False
巻,True,True,True,False,False,True,True,True
巼,False,False,False,False,False,True,False,False
巽,True,True,True,False,False,True,True,True
巾,True,True,True,False,False,True,True,True
巿,False,True,True,False,False,True,True,True
帀,False,False,False,False,False,True,False,False
币,True,True,True,False,False,True,True,True
市,True,True,True,False,False,True,True,True
布,True,True,True,False,False,True,True,True
帄,False,False,False,False,False,True,False,False
帅,True,True,True,False,False,True,True,True
帆,True,True,True,False,False,True,True,True
帇,False,False,False,False,False,True,False,False
师,True,True,True,False,False,True,True,True
帉,False,False,False,False,False,True,False,False
帊,False,False,False,False,False,True,False,False
帋,False,False,False,False,False,True,False,False
希,True,True,True,False,False,True,True,True
帍,False,False,False,False,False,True,False,False
帎,False,False,False,False,False,True,False,False
帏,False,False,False,False,False,True,False,False
帐,True,True,True,False,False,True,True,True
帑,True,True,True,False,False,True,True,True
帒,False,False,False,False,False,True,False,False
帓,False,False,False,False,False,True,False,False
帔,False,False,False,False,False,True,False,False
帕,True,True,True,False,False,True,True,True
帖,True,True,True,False,False,True,True,True
帗,False,False,False,False,False,True,False,False
帘,True,True,True,False,False,True,True,True
帙,False,False,False,False,False,True,False,False
帚,True,True,True,False,False,True,True,True
帛,True,True,True,False,False,True,True,True
帜,True,True,True,False,False,True,True,True
帝,True,True,True,False,False,True,True,True
帞,False,False,False,False,False,True,False,False
帟,False,False,False,False,False,True,False,False
帠,False,False,False,False,False,True,False,False
帡,False,False,False,False,False,True,False,False
帢,False,False,False,False,False,True,False,False
帣,False,False,False,False,False,True,False,False
帤,False,False,False,False,False,True,False,False
帥,True,True,True,False,False,True,True,True
带,True,True,True,False,False,True,True,True
帧,True,True,True,False,False,True,True,True
帨,False,False,False,False,False,True,False,False
帩,False,False,False,False,False,True,False,False
帪,False,False,False,False,False,True,False,False
師,True,True,True,False,False,True,True,True
帬,False,False,False,False,False,True,False,False
席,True,True,True,False,False,True,True,True
帮,True,True,True,False,False,True,True,True
帯,True,True,True,False,False,True,True,True
帰,True,True,True,False,False,True,True,True
帱,False,False,False,False,False,True,False,False
帲,False,False,False,False,False,True,False,False
帳,True,True,True,False,False,True,True,True
帴,False,False,False,False,False,True,False,False
帵,False,False,False,False,False,True,False,False
帶,True,True,True,False,False,True,True,True
帷,True,True,True,False,False,True,True,True
常,True,True,True,False,False,True,True,True
帹,False,False,False,False,False,True,False,False
帺,False,False,False,False,False,True,False,False
帻,False,False,False,False,False,True,False,False
帼,False,True,True,False,False,True,True,True
帽,True,True,True,False,False,True,True,True
帾,False,False,False,False,False,True,False,False
帿,False,False,False,False,False,True,False,False
幀,True,True,True,False,False,True,True,True
幁,False,False,False,False,False,True,False,False
幂,True,True,True,False,False,True,True,True
幃,False,False,False,False,False,True,False,False
幄,False,True,True,False,False,True,True,True
幅,True,True,True,False,False,True,True,True
幆,False,False,False,False,False,True,False,False
幇,True,False,False,False,False,True,False,False
幈,False,False,False,False,False,True,False,False
幉,False,False,False,False,False,True,False,False
幊,False,False,False,False,False,True,False,False
幋,False,False,False,False,False,True,False,False
幌,True,True,True,False,False,True,True,True
幍,False,False,False,False,False,True,False,False
幎,False,False,False,False,False,True,False,False
幏,False,False,False,False,False,True,False,False
幐,False,False,False,False,False,True,False,False
幑,False,False,False,False,False,True,False,False
幒,False,False,False,False,False,True,False,False
幓,False,False,False,False,False,True,False,False
幔,True,True,True,False,False,True,True,True
幕,True,True,True,False,False,True,True,True
幖,False,False,False,False,False,True,False,False
幗,False,False,False,False,False,True,False,False
幘,False,False,False,False,False,True,False,False
幙,False,False,False,False,False,True,False,False
幚,False,False,False,False,False,True,False,False
幛,False,False,False,False,False,True,False,False
幜,False,False,False,False,False,True,False,False
幝,False,False,False,False,False,True,False,False
幞,False,False,False,False,False,True,False,False
幟,True,True,True,False,False,True,True,True
幠,False,False,False,False,False,True,False,False
幡,True,True,True,False,False,True,True,True
幢,True,True,True,False,False,True,True,True
幣,True,True,True,False,False,True,True,True
幤,False,False,False,False,False,True,False,False
幥,False,False,False,False,False,True,False,False
幦,False,False,False,False,False,True,False,False
幧,False,False,False,False,False,True,False,False
幨,False,False,False,False,False,True,False,False
幩,False,False,False,False,False,True,False,False
幪,False,False,False,False,False,True,False,False
幫,True,True,True,False,False,True,True,True
幬,False,False,False,False,False,True,False,False
幭,False,False,False,False,False,True,False,False
幮,False,False,False,False,False,True,False,False
幯,False,False,False,False,False,True,False,False
幰,False,False,False,False,False,True,False,False
幱,False,False,False,False,False,True,False,False
干,True,True,True,False,False,True,True,True
平,True,True,True,False,False,True,True,True
年,True,True,True,False,False,True,True,True
幵,False,False,False,False,False,True,False,False
并,True,True,True,False,False,True,True,True
幷,False,False,False,False,False,True,False,False
幸,True,True,True,False,False,True,True,True
幹,True,True,True,False,False,True,True,True
幺,True,True,True,False,False,True,True,True
幻,True,True,True,False,False,True,True,True
幼,True,True,True,False,False,True,True,True
幽,True,True,True,False,False,True,True,True
幾,True,True,True,False,False,True,True,True
广,True,True,True,False,False,True,True,True
庀,False,False,False,False,False,True,False,False
庁,True,True,True,False,False,True,True,True
庂,False,False,False,False,False,True,False,False
広,True,True,True,False,False,True,True,True
庄,True,True,True,False,False,True,True,True
庅,False,False,False,False,False,True,False,False
庆,True,True,True,False,False,True,True,True
庇,True,True,True,False,False,True,True,True
庈,False,False,False,False,False,True,False,False
庉,False,False,False,False,False,True,False,False
床,True,True,True,False,False,True,True,True
庋,False,False,False,False,False,True,False,False
庌,False,False,False,False,False,True,False,False
庍,False,False,False,False,False,True,False,False
庎,False,False,False,False,False,True,False,False
序,True,True,True,False,False,True,True,True
庐,True,True,True,False,False,True,True,True
庑,False,False,False,False,False,True,False,False
庒,False,False,False,False,False,True,False,False
库,True,True,True,False,False,True,True,True
应,True,True,True,False,False,True,True,True
底,True,True,True,False,False,True,True,True
庖,False,True,True,False,False,True,True,True
店,True,True,True,False,False,True,True,True
庘,False,False,False,False,False,True,False,False
庙,True,True,True,False,False,True,True,True
庚,True,True,True,False,False,True,True,True
庛,False,False,False,False,False,True,False,False
府,True,True,True,False,False,True,True,True
庝,False,False,False,False,False,True,False,False
庞,True,True,True,False,False,True,True,True
废,True,True,True,False,False,True,True,True
庠,True,True,True,False,False,True,True,True
庡,False,False,False,False,False,True,False,False
庢,False,False,False,False,False,True,False,False
庣,False,False,False,False,False,True,False,False
庤,False,False,False,False,False,True,False,False
庥,False,False,False,False,False,True,False,False
度,True,True,True,False,False,True,True,True
座,True,True,True,False,False,True,True,True
庨,False,False,False,False,False,True,False,False
庩,False,False,False,False,False,True,False,False
庪,False,False,False,False,False,True,False,False
庫,True,True,True,False,False,True,True,True
庬,False,False,False,False,False,True,False,False
庭,True,True,True,False,False,True,True,True
庮,False,False,False,False,False,True,False,False
庯,False,False,False,False,False,True,False,False
庰,False,False,False,False,False,True,False,False
庱,False,False,False,False,False,True,False,False
庲,False,False,False,False,False,True,False,False
庳,False,False,False,False,False,True,False,False
庴,False,False,False,False,False,True,False,False
庵,True,True,True,False,False,True,True,True
庶,True,True,True,False,False,True,True,True
康,True,True,True,False,False,True,True,True
庸,True,True,True,False,False,True,True,True
庹,False,True,True,False,False,True,True,True
庺,False,False,False,False,False,True,False,False
庻,False,False,False,False,False,True,False,False
